,num_people,generic_name,event_type,event_location,manufacturer,source,specialty,adverse_event_flag,date_manufacturer_received,date_of_event,date_received,date_report,class,regulation_number
22,1,BLOOD GLUCOSE TEST STRIP,Injury,,"POLU-FLEX CIRCUITS, LTD",Manufacturer report,Clinical Chemistry,Y,20060410,20060407,20060421,20060410,2,862.1345
23,1,INJECTION CAP ON A CATHETER,Injury,OUTPATIENT TREATMENT FACILITY,ALARIS,User Facility report,General Hospital,Y,NA,19971023,19971216,19971103,2,880.5440
24,1,INTRAOCULAR LENS,Malfunction,HOSPITAL,"ALCON LABORATORIES, INC",Manufacturer report,Ophthalmic,N,20001020,NA,20001117,20001020,3,886.3600
25,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20140711,20140701,20140725,20140711,2,880.5725
26,1,NONE,Malfunction,,PHARMALOGIC,Voluntary report,Unknown,N,NA,20110824,20110902,20110902,U,
27,1,DISPOSABLE STAPLER,Injury,,NORTH HAVEN - USS,Manufacturer report,"General, Plastic Surgery",Y,20091023,NA,20091120,20091023,2,878.4750
28,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Injury,I,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,Unknown,Y,20150923,NA,20151019,20150923,3,
29,1,INFUSION PUMP,Injury,,MEDTRONIC,Manufacturer report,Unknown,Y,20101208,20101207,20101222,20101208,3,
30,1,87KWA,Injury,,"DEPUY-CORK, A DIVISION OF DEPUY ORTHOPAEDICS",Manufacturer report,Orthopedic,Y,20080717,20080717,20080811,20080717,3,888.3330
31,1,DRUG ELUTING PERMANENT RIGHT VENTRICULAR (RV) OR RIGHT ATRIAL (RA) PACEMAKER ELE,Injury,,MPRI,Manufacturer report,Unknown,Y,20140326,20140326,20140610,20140326,3,
32,1,VIDEO PROCESSOR,Malfunction,,OLYMPUS MEDICAL SYSTEM CORPORATION,Manufacturer report,"Gastroenterology, Urology",N,20111110,20111110,20111209,20111110,2,876.1500
33,1,GENERATOR,Injury,OTHER,CYBERONICS,Manufacturer report,Unknown,Y,20121115,20120902,20121002,20120905,3,
34,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,AGFA HEALTHCARE CORP,Manufacturer report,Radiology,N,20141022,20141022,20141114,20141114,2,892.2050
35,1,A/C POWERED HOSPITAL BED,Malfunction,,STRYKER,Manufacturer report,General Hospital,N,20111130,20111130,20111214,20111130,2,880.5100
36,1,IMPLANTABLE TACHY LEAD,Malfunction,HOSPITAL,MEDTRONIC,Manufacturer report,Unknown,N,20090128,20090128,20100524,NA,3,
37,1,IMPLANTABLE CARDIAC DEFIBRILLATOR,Other,HOSPITAL,ST. JUDE MEDICAL INC. CRMD,Manufacturer report,Unknown,Y,20040909,20040909,20040921,20040909,3,
38,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS,Manufacturer report,Radiology,N,20150205,20150205,20150217,20150217,2,892.1650
39,1,INSULIN PUMP,Injury,,TANDEM DIABETES CARE,Manufacturer report,General Hospital,Y,20140630,20140609,20140731,20140630,2,880.5725
40,1,"UNIT, ELECTROSURGICAL, ENDOSCOPIC (WITH OR WITHOUT ACCESSORIES)",Injury,,BOSTON SCIENTIFIC,Manufacturer report,"Gastroenterology, Urology",Y,20110103,20101028,20101119,20101028,2,876.4300
41,1,COCHLEAR IMPLANT,Malfunction,,ADVANCED BIONICS LLC,Manufacturer report,Unknown,N,20100908,20100908,20100929,20100908,3,
42,1,AUS,Injury,NOT APPLICABLE,AMERICAN MEDICAL SYSTEMS,Manufacturer report,"Gastroenterology, Urology",Y,19961226,19961223,19970124,19970124,3,876.5280
43,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL",Manufacturer report,Clinical Chemistry,N,20150817,NA,20150825,20150817,2,862.1345
44,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,Unknown,N,20150414,20140301,20150428,20150407,3,
45,1,IMPLANT,Injury,,STRYKER,Manufacturer report,Orthopedic,Y,20131203,19910701,20131223,20131203,2,888.3350
46,1,"SYSTEM, PERITONEAL AUTOMATIC DELIVERY",Malfunction,,BAXTER,Manufacturer report,"Gastroenterology, Urology",N,20130226,20110912,20130318,20130226,2,876.5630
47,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20070221,20070201,20080922,20070210,2,880.5725
48,1,"STAPLE, IMPLANTABLE",Malfunction,,ETHICON,Manufacturer report,"General, Plastic Surgery",N,20101021,20101019,20101116,20101021,2,878.4750
49,1,MICROWAVE ABLATION ACCESSORY,Malfunction,,COVIDIEN,Manufacturer report,"General, Plastic Surgery",N,20091208,20091208,20100106,20091208,2,878.4400
50,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20140317,20140201,20140407,20140317,2,880.5725
51,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,ZOLL,Manufacturer report,Unknown,N,20130114,20130114,20130213,20130213,3,
52,1,ENDOSUTURE,Injury,NOT APPLICABLE,ETHICON,Manufacturer report,"Gastroenterology, Urology",Y,20020715,20020711,20020918,20020715,2,876.1500
53,1,"DEVICE, EMBOLIZATION, VASCULAR",Malfunction,I,COVIDIEN,Manufacturer report,Cardiovascular,N,20151030,20151002,20151120,20151030,2,870.3300
54,1,ANGIOPLASTY DEVICE,Other,HOSPITAL,"SCIMED LIFE SYSTEMS, INC.",User Facility report,Unknown,N,NA,20031001,20040323,20031201,3,
55,1,"DETECTOR AND ALARM, ARRHYTHMIA",Injury,,MEDTRONIC,Manufacturer report,Cardiovascular,Y,20130717,20130617,20131010,20130717,2,870.1025
56,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL",Manufacturer report,Clinical Chemistry,N,20121114,NA,20121210,20121114,2,862.1345
57,1,LEAD,Malfunction,OTHER,CYBERONICS,Manufacturer report,Unknown,N,20130913,20120919,20131011,20130913,3,
58,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,LIFESCAN INC.,Manufacturer report,Clinical Chemistry,N,20121001,NA,20121010,20121001,2,862.1345
59,1,"ELECTRODE, PACEMAKER, PERMANENT",Injury,,MPRI,Manufacturer report,Cardiovascular,Y,20140107,NA,20140410,20140107,3,870.3680
60,1,HIP ACETABULAR CUP,Injury,,"DEPUY  INTERNATIONAL , LTD.",Manufacturer report,Orthopedic,Y,20140828,20140623,20140630,20140828,3,888.3330
61,1,MITEK SUTURE GRASPER,Malfunction,HOSPITAL,DEPUY MITEK,Manufacturer report,Orthopedic,N,20100729,20090827,20100804,20100728,2,888.1100
62,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION,Manufacturer report,General Hospital,N,20140808,NA,20140820,20140808,2,880.5725
63,1,MDS,Malfunction,,DEXCOM INC,Manufacturer report,Unknown,N,20140711,20140710,20140804,20140711,3,
64,1,ZIRCONIA ABUTMENT,Malfunction,I,BIOMET 3I,Manufacturer report,Dental,N,20151211,20150826,20151214,20150917,2,872.3630
65,1,DETACHABLE COIL,Malfunction,,BOSTON SCIENTIFIC,Manufacturer report,Neurology,N,19980122,19980103,19980507,19980506,2,882.5950
66,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,,Manufacturer report,General Hospital,N,20110425,20110324,20120104,20110425,2,880.5440
67,1,INSTRUMENT,Malfunction,,STRYKER,Manufacturer report,Orthopedic,N,20141020,20141020,20141120,20141020,1,888.4540
68,1,TPN BAG,Malfunction,OUTPATIENT TREATMENT FACILITY,MEDICAL SPECIALTIES,Voluntary report,General Hospital,N,NA,19950401,19950626,19950613,2,880.5025
69,1,OZO,Malfunction,I,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,Unknown,N,20150611,20150611,20150630,20150611,3,
70,1,INTEMESH SILICONE-COATED SURGICAL MESH,Injury,,AMERICAN MEDICAL SYSTEMS,Manufacturer report,"General, Plastic Surgery",Y,20101004,NA,20101020,20101004,2,878.3300
71,1,SCS IPG,Injury,,ST JUDE MED - NEUROMODULATION,Manufacturer report,Unknown,Y,20121129,20121129,20121220,20121129,3,
72,1,A/C POWERED HOSPITAL BED,Malfunction,,STRYKER,Manufacturer report,General Hospital,N,20110307,20110307,20110401,20110307,2,880.5100
73,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION,Manufacturer report,General Hospital,N,20140307,NA,20140325,20140307,2,880.5725
74,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,ABBOTT DIABETES CARE,Manufacturer report,Clinical Chemistry,N,20070228,20070228,20070330,20070330,2,862.1345
75,1,87KWA,Injury,,"DEPUY  INTERNATIONAL , LTD.",Manufacturer report,Orthopedic,Y,20110617,20110617,20110715,20110617,3,888.3330
76,1,IN VITRO DIAGNOSTIC,Malfunction,,ORTHO-CLINICAL DIAGNOSTICS,Manufacturer report,Unknown,N,20081126,20081030,20081205,20081126,3,
77,1,80FRN,Malfunction,,COSTA RICA,Manufacturer report,General Hospital,N,20131217,20131201,20140115,20131217,2,880.5725
78,1,CARDIAC CHEST COMPRESSOR,Malfunction,,ZOLL,Manufacturer report,Cardiovascular,N,20141112,20141112,20141204,20141112,3,870.5200
79,1,INSULIN INFUSION SET,Injury,OTHER,DISETRONIC MEDICAL SYSEMS,Manufacturer report,General Hospital,Y,20090315,20090312,20090323,20090315,2,880.5440
80,1,"STENT, CORONARY, DRUG-ELUTING",Injury,,BOSTON SCIENTIFIC,Manufacturer report,Unknown,Y,20131128,20130822,20130923,20130827,3,
81,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL",Manufacturer report,Clinical Chemistry,N,20140724,NA,20140814,20140724,2,862.1345
82,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,MEDTRONIC,Manufacturer report,Cardiovascular,N,20100327,20100327,20100610,NA,3,870.3680
83,1,INSULIN INFUSION PUMP,Malfunction,U,ROCHE DIABETES CARE AG,Manufacturer report,General Hospital,N,20130531,20130531,20130603,20130801,2,880.5725
84,1,"SET, ADMINISTRATION, FOR PERITONEAL DIALYSIS, DISPOSABLE",Injury,,BAXTER,Manufacturer report,"Gastroenterology, Urology",Y,20131107,20130925,20131202,20131107,2,876.5630
85,1,TOTALLY IMPLANTABLE PULSE GENERATOR,Injury,,ST JUDE MED - NEUROMODULATION,Manufacturer report,Unknown,Y,20101229,20101229,20110127,20101229,3,
86,1,IMPLANTABLE LEAD,Injury,,CPI - DEL CARIBE,Manufacturer report,Unknown,N,20100914,20100707,20101004,20100914,3,
87,1,*,Injury,,*,Manufacturer report,"General, Plastic Surgery",N,20030423,20030321,20030527,NA,3,878.3530
88,1,PCA PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20030218,20030201,20030402,20030218,2,880.5725
89,1,PRESEP,Malfunction,HOSPITAL,EDWARDS LIFESCIENCES,Manufacturer report,Cardiovascular,N,20120712,20120712,20120807,20120712,2,870.1230
90,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS,Manufacturer report,Radiology,N,20100204,20091005,20100219,20100219,2,892.1650
91,1,DRUG ELUTING STENT,Death,,BOSTON SCIENTIFIC,Manufacturer report,Unknown,Y,NA,20060409,20060512,NA,3,
92,1,"CATHETERS, TRANSLUMINAL CORONARY ANGIOPLASTY, PERCUTANEOUS",Malfunction,,BOSTON SCIENTIFIC,Manufacturer report,Cardiovascular,N,20140121,20131112,20131211,20131114,2,870.5100
93,1,"PROBE, BREAST BIOPSY",No answer provided,AMBULATORY SURGICAL FACILITY,ETHICON,User Facility report,"Gastroenterology, Urology",N,NA,20060607,20060808,20060808,2,876.1075
94,1,,Malfunction,,STRYKER,Manufacturer report,Unknown,N,20120830,20120830,20120918,20120830,U,
95,1,BZE,Malfunction,,FISHER & PAYKEL,Manufacturer report,Anesthesiology,N,20111014,20111010,20111109,20111014,2,868.5270
96,1,PROTHROMBIN TIME TEST,Malfunction,,"ALERE SAN DIEGO, INC",Manufacturer report,Hematology,N,20110628,20110624,20110728,20110728,2,864.7750
97,1,80FRN,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20080814,20080724,20080822,20080729,2,880.5725
98,1,ANESTHESIA MACHINE,Malfunction,HOSPITAL,"DRAEGER MEDICAL, INC.",Manufacturer report,Anesthesiology,N,20050818,20050818,20050901,20050818,2,868.5160
99,1,SCS LEAD,Injury,,ST JUDE MED - NEUROMODULATION,Manufacturer report,Unknown,Y,20120725,20110801,20120815,20120725,3,
100,1,TRACHEOBRONCHIAL SUCTION,Malfunction,,BALLARD MEDICAL PRODUCTS,Manufacturer report,Anesthesiology,N,20041029,20041029,20041119,20041119,1,868.6810
101,1,,Malfunction,NO INFORMATION,INSULET CORPORATION,Manufacturer report,General Hospital,N,20150708,20150703,20150807,20150708,2,880.5725
102,1,"VENTILATOR, CONTINUOUS, FACILITY USE",Malfunction,,"RESPIRONICS CALIFORNIA, INC",Manufacturer report,Anesthesiology,N,20120517,20120517,20120613,20120517,2,868.5895
103,1,DEFIBRILLATION LEAD,Injury,,ST. JUDE MEDICAL INC. CRMD,Manufacturer report,Unknown,Y,20120720,20120712,20140407,NA,3,
104,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER,Manufacturer report,"Gastroenterology, Urology",N,20150722,20150429,20150706,20150623,2,876.5630
105,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Injury,,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,Unknown,Y,20130201,20111201,20120206,20120117,3,
106,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,CARDIAC PACEMAKERS,Manufacturer report,Cardiovascular,Y,20070905,20070905,20071108,20070905,3,870.3610
107,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC,Manufacturer report,Unknown,N,20140802,20140802,20140909,20140802,3,
108,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20060221,20060221,20060322,20060221,2,880.5725
109,1,TOTALLY IMPLANTABLE PULSE GENERATOR,Injury,HOME,ST JUDE MED - NEUROMODULATION,Manufacturer report,Unknown,Y,20110929,20110929,20111028,20110929,3,
110,1,PACER LEAD,Malfunction,,BIOTRONIK SE & CO KG,Manufacturer report,Unknown,Y,20100824,20100817,20101008,20100824,3,
111,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20140530,20140501,20140613,20140530,2,880.5725
112,1,TRIATHLON,Injury,NO INFORMATION,STRYKER,Voluntary report,Orthopedic,Y,NA,20131213,20150918,20150908,2,888.3565
113,1,PTD PRODUCTS,Injury,,ARROW INTERNATIONAL,Manufacturer report,Cardiovascular,Y,20060419,20060410,20060425,20060425,2,870.4875
114,1,MAMMARY PROSTHESIS,Malfunction,HOSPITAL,MENTOR CORP.,User Facility report,"General, Plastic Surgery",N,NA,19940127,19940718,19940131,3,878.3540
115,1,"SET, ADMINISTRATION, FOR PERITONEAL DIALYSIS, DISPOSABLE",Injury,,BAXTER,Manufacturer report,"Gastroenterology, Urology",Y,20131113,20131106,20131206,20131113,2,876.5630
116,1,"PUMP, INFUSION",Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20110125,20100610,20100706,20100610,2,880.5725
117,1,,Injury,OTHER,MEDTRONIC,Manufacturer report,Unknown,Y,20100304,20080101,20100405,20100304,3,
118,1,FZP,Malfunction,,ETHICON,Manufacturer report,"General, Plastic Surgery",N,20080409,20080408,20090217,20080425,1,878.4800
119,1,"NIQ STENT, CORONARY, DRUG-ELUTING",Death,,BOSTON SCIENTIFIC,Manufacturer report,Unknown,Y,20090623,NA,20090723,20090623,3,
120,1,"STAPLE, IMPLANTABLE",Malfunction,I,ETHICON,Manufacturer report,"General, Plastic Surgery",N,20151105,20151022,20151201,20151023,2,878.4750
121,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL",Manufacturer report,Clinical Chemistry,N,20150826,NA,20150903,20150826,2,862.1345
122,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS,Manufacturer report,Radiology,N,20110107,20110107,20110127,20110127,2,892.1650
123,1,SPINAL CORD STIMULATION LEAD,Injury,,ST JUDE MED - NEUROMODULATION,Manufacturer report,Unknown,Y,20101109,20101109,20101208,20101109,3,
124,1,CONTINUOUS VENTILATOR,Malfunction,I,COVIDIEN,Manufacturer report,Anesthesiology,N,20151104,20151030,20151125,20151104,2,868.5895
125,1,"CATHETER, PERCUTANEOUS",Malfunction,,BOSTON SCIENTIFIC,Manufacturer report,Cardiovascular,N,20150409,20150403,20150501,20150409,2,870.1250
126,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,,Manufacturer report,Clinical Chemistry,N,20110919,20110919,20111003,20111003,2,862.1345
127,1,DISPOSABLE SURGICAL STAPLER,Malfunction,HOSPITAL,UNITED STATES SURGICAL,Manufacturer report,"Gastroenterology, Urology",N,20000629,20000629,20000726,20000629,2,876.1500
128,1,ENDOSCOPIC VESSEL HARVESTING,Malfunction,,MAQUET CARDIOVASCULAR,Manufacturer report,"General, Plastic Surgery",N,20140428,20140425,20140523,20140428,2,878.4400
129,1,HIP FEMORAL HEAD,Injury,,"DEPUY  INTERNATIONAL , LTD.",Manufacturer report,Orthopedic,Y,20140815,20140430,20121001,20140815,3,888.3330
130,1,SCS IPG,Injury,I,ST JUDE MED - NEUROMODULATION,Manufacturer report,Neurology,Y,20151021,20150221,20151116,20151021,2,882.5880
131,1,890.3860,Malfunction,,INVACARE TAYLOR STREET,Manufacturer report,Physical Medicine,N,20130123,NA,20130220,20130219,2,890.3860
132,1,"STIMULATOR, ELECTRICAL, IMPLANTED, FOR PARKINSONIAN TREMOR",Malfunction,,MEDTRONIC,Manufacturer report,Unknown,Y,20141215,NA,20150106,20141215,3,
133,1,STEREOTAXIC INSTRUMENT (HAW),Malfunction,,MEDTRONIC,Manufacturer report,Neurology,N,20100223,20100223,20110228,20100223,2,882.4560
134,1,HIP FEMORAL STEM/SLEEVE,Injury,,"1818910 DEPUY ORTHOPAEDICS, INC.",Manufacturer report,Orthopedic,Y,20150213,20120406,20141203,20141112,2,888.3358
135,1,IMPLANTABLE PACING LEAD,Malfunction,HOSPITAL,MEDTRONIC,Manufacturer report,Cardiovascular,N,20100902,20100902,20101213,NA,3,870.3680
136,1,E SERIES,Malfunction,,ZOLL,Manufacturer report,Cardiovascular,N,20100805,20100804,20100825,20100805,3,870.5310
137,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,MEDTRONIC,Manufacturer report,Cardiovascular,Y,20110502,20110502,20110811,NA,3,870.3680
138,1,IMPLANT,Injury,,STRYKER,Manufacturer report,Orthopedic,Y,20020212,20000317,20020308,20020212,2,888.3560
139,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER,Manufacturer report,"Gastroenterology, Urology",N,20140715,20140704,20140807,20140715,2,876.5630
140,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Injury,,,Manufacturer report,Unknown,Y,20140925,20140906,20141006,20140925,3,
141,1,PERMANENT PACEMAKER ELECTRODE,Injury,,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",Manufacturer report,Unknown,Y,20150428,20150428,20150706,20150428,3,
142,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20130122,20130101,20130213,20130122,2,880.5440
143,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,ABBOTT DIABETES CARE,Manufacturer report,Clinical Chemistry,N,20070611,20070611,20070712,20070710,2,862.1345
144,1,SUTURE MEDIATED CLOSURE,Injury,,AV-TEMECULA-CT,Manufacturer report,Unknown,Y,20110108,20110107,20110202,20110108,3,
145,1,TM AUGMENT,Injury,,ZIMMER,Manufacturer report,Orthopedic,Y,20130417,NA,20130425,20130425,2,888.3350
146,1,PROGRAMMER RF HEAD,Malfunction,HOSPITAL,MEDTRONIC,Manufacturer report,Cardiovascular,N,20111216,NA,20120217,NA,3,870.3700
147,1,,Malfunction,HOSPITAL,"PHYSIO-CONTROL, INC",Manufacturer report,Cardiovascular,N,20090901,20090901,20091001,20090901,3,870.5310
148,1,INFUSION PUMP,Malfunction,I,BAXTER,Manufacturer report,General Hospital,N,20151015,20151015,20151106,20151015,2,880.5725
149,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20030508,20030501,20030512,20030508,2,880.5725
150,1,,Malfunction,,ETHICON,Manufacturer report,"Gastroenterology, Urology",N,20090617,20090610,20090619,20090617,2,876.1500
151,1,UNIVERSAL MODULAR ELECTRIC/BATTERY SINGLE,Malfunction,,ZIMMER,Manufacturer report,Unknown,N,20130924,20130901,20131024,20130924,U,
152,1,BRAVO,Injury,I,GIVEN IMAGING LTD.,Manufacturer report,"Gastroenterology, Urology",Y,NA,20150828,20150926,20150926,1,876.1400
153,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,ZOLL,Manufacturer report,Cardiovascular,N,20010926,NA,20011025,20010926,3,870.5310
154,1,IMPLANT,Injury,,STRYKER,Manufacturer report,Orthopedic,Y,20090812,20090812,20090910,20090812,2,888.3590
155,1,INTRAOCULAR LENS,Malfunction,,STAAR SURGICAL,Manufacturer report,Ophthalmic,N,20040512,20040503,20040607,20040512,3,886.3600
156,1,"MESH, SURGICAL, POLYMERIC",Injury,,BOSTON SCIENTIFIC,Manufacturer report,"General, Plastic Surgery",Y,20130614,NA,20130701,20130614,2,878.3300
157,1,PTV CATHETER,Malfunction,,"NUMED, INC.",Manufacturer report,Cardiovascular,N,20100604,NA,20100630,20100630,2,870.1250
158,1,HIP ACETABULAR CUP,Injury,I,"DEPUY  INTERNATIONAL , LTD.",Manufacturer report,Orthopedic,Y,20151117,20130723,20140724,20151117,3,888.3330
159,1,HIP INSTRUMENT/TRIAL,Malfunction,I,"1818910 DEPUY ORTHOPAEDICS, INC.",Manufacturer report,Unknown,N,20151218,20151218,20160106,20151218,3,
160,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC,Manufacturer report,Unknown,N,20141201,20141201,20141229,20141201,3,
161,1,NO BNCN FOUND FOR THIS DEVICE,Malfunction,HOSPITAL,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION,Manufacturer report,Unknown,N,20080208,20080208,20080527,NA,3,
162,1,SURGICAL FIBER,Malfunction,,AMERICAN MEDICAL SYSTEMS,Manufacturer report,"General, Plastic Surgery",N,20110919,20110916,20111017,20110919,2,878.4810
163,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,Unknown,Y,20130305,20130305,20140610,20130305,3,
164,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL",Manufacturer report,Clinical Chemistry,N,20130420,NA,20130516,20130420,2,862.1345
165,1,"PUMP, INFUSION",Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20120221,20120221,20120312,20120221,2,880.5725
166,1,"MESH, SURGICAL, POLYMERIC",Injury,OTHER,ETHICON,Manufacturer report,Obstetrics/Gynecology,Y,20130923,NA,20130328,20130306,3,884.5980
167,1,,Malfunction,,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,General Hospital,N,20120311,20120311,20120419,20120412,2,880.5725
168,1,IMPLANTABLE PACEMAKER/CARDIO/DEFIB,Malfunction,HOSPITAL,MEDTRONIC,Manufacturer report,Unknown,N,20010209,NA,20010510,NA,3,
