,num_people,generic_name,event_type,event_location,manufacturer
35,1,A/C POWERED HOSPITAL BED,Malfunction,,LIFESCAN INC.
38,1,FLUOROSCOPIC X-RAY,Malfunction,,ANIMAS CORPORATION
40,1,"UNIT, ELECTROSURGICAL, ENDOSCOPIC (WITH OR WITHOUT ACCESSORIES)",Injury,,BIOMET 3I
41,1,COCHLEAR IMPLANT,Malfunction,,BOSTON SCIENTIFIC
43,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,STRYKER
44,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDICAL SPECIALTIES
46,1,"SYSTEM, PERITONEAL AUTOMATIC DELIVERY",Malfunction,,STRYKER
47,1,INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
48,1,"STAPLE, IMPLANTABLE",Malfunction,,ABBOTT DIABETES CARE
49,1,MICROWAVE ABLATION ACCESSORY,Malfunction,,ORTHO-CLINICAL DIAGNOSTICS
50,1,INFUSION PUMP,Malfunction,,COSTA RICA
51,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,ZOLL
53,1,"DEVICE, EMBOLIZATION, VASCULAR",Malfunction,I,ROCHE DIABETES CARE AG
56,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
57,1,LEAD,Malfunction,OTHER,EDWARDS LIFESCIENCES
58,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,GE OEC MEDICAL SYSTEMS
59,1,"ELECTRODE, PACEMAKER, PERMANENT",Injury,,BOSTON SCIENTIFIC
61,1,MITEK SUTURE GRASPER,Malfunction,HOSPITAL,FISHER & PAYKEL
62,1,INSULIN INFUSION PUMP,Malfunction,,"ALERE SAN DIEGO, INC"
63,1,MDS,Malfunction,,BAXTER HEALTHCARE
64,1,ZIRCONIA ABUTMENT,Malfunction,I,"DRAEGER MEDICAL, INC."
65,1,DETACHABLE COIL,Malfunction,,BALLARD MEDICAL PRODUCTS
66,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,INSULET CORPORATION
67,1,INSTRUMENT,Malfunction,,"RESPIRONICS CALIFORNIA, INC"
68,1,TPN BAG,Malfunction,OUTPATIENT TREATMENT FACILITY,BAXTER HEALTHCARE
69,1,OZO,Malfunction,I,CARDIAC PACEMAKERS
72,1,A/C POWERED HOSPITAL BED,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
73,1,INSULIN INFUSION PUMP,Malfunction,,BIOTRONIK SE & CO KG
74,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,BAXTER HEALTHCARE
76,1,IN VITRO DIAGNOSTIC,Malfunction,,BAXTER HEALTHCARE
77,1,80FRN,Malfunction,,MEDTRONIC
78,1,CARDIAC CHEST COMPRESSOR,Malfunction,,ETHICON
81,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
83,1,INSULIN INFUSION PUMP,Malfunction,U,BOSTON SCIENTIFIC
85,1,TOTALLY IMPLANTABLE PULSE GENERATOR,Injury,,UNITED STATES SURGICAL
86,1,IMPLANTABLE LEAD,Injury,,MAQUET CARDIOVASCULAR
88,1,PCA PUMP,Malfunction,,INVACARE TAYLOR STREET
89,1,PRESEP,Malfunction,HOSPITAL,MEDTRONIC
90,1,FLUOROSCOPIC X-RAY,Malfunction,,MEDTRONIC
92,1,"CATHETERS, TRANSLUMINAL CORONARY ANGIOPLASTY, PERCUTANEOUS",Malfunction,,ZOLL
94,1,,Malfunction,,STRYKER
95,1,BZE,Malfunction,,BAXTER HEALTHCARE
96,1,PROTHROMBIN TIME TEST,Malfunction,,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)"
97,1,80FRN,Malfunction,,BAXTER HEALTHCARE
98,1,ANESTHESIA MACHINE,Malfunction,HOSPITAL,ABBOTT DIABETES CARE
100,1,TRACHEOBRONCHIAL SUCTION,Malfunction,,MEDTRONIC
101,1,,Malfunction,NO INFORMATION,"PHYSIO-CONTROL, INC"
102,1,"VENTILATOR, CONTINUOUS, FACILITY USE",Malfunction,,BAXTER HEALTHCARE
104,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ETHICON
106,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,ZOLL
107,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,STAAR SURGICAL
108,1,INFUSION PUMP,Malfunction,,"NUMED, INC."
109,1,TOTALLY IMPLANTABLE PULSE GENERATOR,Injury,HOME,DEPUY ORTHOPAEDICS INC
110,1,PACER LEAD,Malfunction,,MEDTRONIC
111,1,INFUSION PUMP,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
114,1,MAMMARY PROSTHESIS,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
116,1,"PUMP, INFUSION",Malfunction,,MDT PUERTO RICO OPERATIONS CO
117,1,,Injury,OTHER,BOSTON SCIENTIFIC
120,1,"STAPLE, IMPLANTABLE",Malfunction,I,STRYKER
121,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,CPI - DEL CARIBE
122,1,FLUOROSCOPIC X-RAY,Malfunction,,ANIMAS CORP.
123,1,SPINAL CORD STIMULATION LEAD,Injury,,BIOTRONIK GMBH & CO.
124,1,CONTINUOUS VENTILATOR,Malfunction,I,BECKMAN COULTER
125,1,"CATHETER, PERCUTANEOUS",Malfunction,,BAXTER HLTHCARE CORP
126,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,BAXTER HEALTHCARE
127,1,DISPOSABLE SURGICAL STAPLER,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
128,1,ENDOSCOPIC VESSEL HARVESTING,Malfunction,,STRYKER
130,1,SCS IPG,Injury,I,FRESENIUS
131,1,890.3860,Malfunction,,ROCHE DIAGNOSTICS
132,1,"STIMULATOR, ELECTRICAL, IMPLANTED, FOR PARKINSONIAN TREMOR",Malfunction,,ZOLL
133,1,STEREOTAXIC INSTRUMENT (HAW),Malfunction,,MEDTRONIC
135,1,IMPLANTABLE PACING LEAD,Malfunction,HOSPITAL,ZOLL
136,1,E SERIES,Malfunction,,BAXTER HEALTHCARE
137,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
138,1,IMPLANT,Injury,,AGFA HEALTHCARE CORP
139,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,"KINETIKOS MEDICAL, INC."
141,1,PERMANENT PACEMAKER ELECTRODE,Injury,,BOSTON SCIENTIFIC
142,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,HILL-ROM INC
143,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,STRYKER
144,1,SUTURE MEDIATED CLOSURE,Injury,,DEXCOM INC
146,1,PROGRAMMER RF HEAD,Malfunction,HOSPITAL,INVACARE FLORIDA OPERATIONS
147,1,,Malfunction,HOSPITAL,BECKMAN COULTER
148,1,INFUSION PUMP,Malfunction,I,CARDIAC PACEMAKERS
149,1,INFUSION PUMP,Malfunction,,LIFESCAN INC.
150,1,,Malfunction,,ZIMMER INC
151,1,UNIVERSAL MODULAR ELECTRIC/BATTERY SINGLE,Malfunction,,HILL-ROM RITTER
153,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,ADVANCED STERILIZATION PRODUCTS
155,1,INTRAOCULAR LENS,Malfunction,,BOSTON SCIENTIFIC
157,1,PTV CATHETER,Malfunction,,HEMI
159,1,HIP INSTRUMENT/TRIAL,Malfunction,I,ZOLL
160,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ETHICON
161,1,NO BNCN FOUND FOR THIS DEVICE,Malfunction,HOSPITAL,MEDTRONIC
162,1,SURGICAL FIBER,Malfunction,,ANIMAS CORPORATION
163,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,ANIMAS CORPORATION
164,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
165,1,"PUMP, INFUSION",Malfunction,,ETHICON
167,1,,Malfunction,,PHILIPS MEDICAL SYSTEMS
169,1,PREMOUNTED BALLOON EXPANDABLE STENT SYSTEM,Malfunction,,MEDTRONIC
170,1,LV LEAD,Malfunction,,BOSTON SCIENTIFIC
171,1,"CONSOLE, HEART-LUNG MACHINE, CARDIOPULMONARY BYPASS",No answer provided,I,WARSAW ORTHOPEDIC INC.
173,1,POWERED WHEELED STRETCHER,Malfunction,,GE OEC MEDICAL SYSTEMS
174,1,IMPLANTABLE LEAD,Injury,,DEPUY SYNTHES
175,1,INSULIN INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
177,1,DIFIBRILLATOR,Malfunction,,ROCHE DIAGNOSTICS
179,1,"COUNTER, DIFFERENTIAL CELL",Malfunction,,ROCHE DIAGNOSTICS
180,1,INFUSION PUMP,Malfunction,,GUIDANT
182,1,INFUSION PUMP,Malfunction,,INVACARE SUZHOU
184,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,SKILLMAN CONTRACT
186,1,HOSPITAL WHEELED STRETCHER,Malfunction,,AV-TEMECULA-CT
187,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BECKMAN COULTER
189,1,PERITONEAL DIALYSIS CYCLER,Malfunction,,ANIMAS CORPORATION
194,1,LANCET DEVICE - FMK,Malfunction,HOME,MEDTRONIC
196,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,SYNTHES - MONUMENT
197,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ROCHE DIAGNOSTICS
199,1,"MDS, PRODUCT CODE:MDS",Malfunction,I,BECTON DICKINSON
200,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,PHILIPS MEDICAL SYSTEMS
201,1,INFUSION PUMP,Malfunction,NO INFORMATION,MEDTRONIC
203,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BOSTON SCIENTIFIC
206,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,GYRUS ACMI
207,1,ORTHOPEDIC IMPLANT (WRIST),Injury,,SYNTHES GMBH
208,1,MDS,Malfunction,I,AV-TEMECULA-CT
209,1,"CATHETER, CONTINUOUS FLUSH",Malfunction,,ABBOTT MEDICAL OPTICS
212,1,A/C POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,MEDTRONIC
213,1,"DRILL, SURGICAL, ENT INCLUDING HAND PIECE",Malfunction,,COSTA RICA
214,1,MDS,Malfunction,I,JUMAO MEDICAL EQUIPMENT
215,1,"TRANSDUCER, PRESSURE, CATHETER TIP",Malfunction,,"MINDRAY DS USA, INC"
217,1,868.5440,Malfunction,,MEDTRONIC
218,1,,Malfunction,,HEARTWARE
219,1,IMPLANTABLE PULSE GENERATOR,Malfunction,HOSPITAL,ANIMAS CORPORATION
220,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ANIMAS CORPORATION
221,1,NEXGEN STRAIGHT STEM,Malfunction,HOSPITAL,MEDTRONIC
222,1,A/C POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
223,1,,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
224,1,STERRAD EQUIPMENT (MLR),Malfunction,,STRYKER
225,1,INFUSION PUMP,Malfunction,,ARROW INTERNATIONAL
226,1,"CATHETER, ULTRASOUND, INTRAVASCULAR",Malfunction,,INTEGRA NEUROCARE LLC
228,1,INSTRUMENT,Malfunction,,CONSMA
231,1,ELECTRIC MOIST HEAT PACK,Malfunction,,ALCON - IRVINE TECHNOLOGY CENTER
234,1,5MM ENDOSCOPIC HOOK,Malfunction,HOSPITAL,GE HEALTHCARE
235,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,"PHYSIO-CONTROL, INC"
236,1,FZP,Malfunction,NOT APPLICABLE,MDT PUERTO RICO OPERATIONS CO
237,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MDT PUERTO RICO OPERATIONS CO
238,1,INSULIN INFUSION PUMP,Malfunction,I,MDT PUERTO RICO OPERATIONS CO
239,1,INSULIN INFUSION PUMP,Malfunction,,MEDTRONIC
241,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,KING SYSTEMS CORPORATION
242,1,HANDPIECE,Malfunction,NOT APPLICABLE,BAXTER HEALTHCARE
244,1,PEAK,Injury,HOSPITAL,COVIDIEN
245,1,,Malfunction,,UNITED STATES SURGICAL
246,1,INSULIN INFUSION PUMP,Malfunction,,ETHICON
247,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,STERIS CORPORATION - MONTGOMERY
248,1,CORONARY DRUG-ELUTING STENT,Malfunction,,DEPUY SYNTHES
249,1,BREAK-OFF NUT,Malfunction,,HILL-ROM PLUVIGNER
250,1,"PUMP, INFUSION",Malfunction,,ROCHE DIAGNOSTICS
251,1,FLUOROSCOPIC X-RAY,Malfunction,,GUIDANT
252,1,KNEE JOINT,Injury,,MEDTRONIC
253,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Injury,,BECKMAN COULTER
254,1,VASCULAR ACCESS CATHETER,Injury,HOSPITAL,ABBOTT MEDICAL OPTICS
255,1,BLOOD GLUCOSE MONITORING TEST STRIPS,Malfunction,SCHOOL,ETHICON
256,1,HEMATOLOGY ANALYZER,Malfunction,,HEART VALVES SANTA ANA
257,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,OTHER,BAXTER HEALTHCARE
258,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,SMITHS MEDICAL
261,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,BAXTER HEALTHCARE
262,1,890.3860,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
263,1,BLOOD GLUCOSE MONITORING TEST STRIPS,Malfunction,HOME,TANDEM DIABETES CARE
264,1,"TOOTHBRUSH, MANUAL",Malfunction,OTHER,BAXTER HEALTHCARE
265,1,"DRILLS, BURRS, TREPHINES & ACCESSORIES (SIMPLE, POWERED)",Malfunction,,BOSTON SCIENTIFIC
266,1,SELF-EXPANDING STENT AND DELIVERY SYSTEM,Malfunction,,HILL-ROM RITTER
267,1,,Malfunction,,ROCHE DIAGNOSTICS
268,1,CORTOSS,Injury,,UNITED STATES SURGICAL
269,1,INSULIN INFUSION PUMP,Malfunction,,INVACARE FLORIDA OPERATIONS
270,1,INFUSION PUMP,Malfunction,,"CARE FUSION 303, INC."
271,1,CES MICROCATHETERS (KRA),Malfunction,,CODMAN   SHURTLEFF
272,1,RESPIRATORY VENTILATOR,Malfunction,HOSPITAL,BAXTER HEALTHCARE
273,1,DIALYSIS CATHETER,Malfunction,HOSPITAL,UNK
275,1,,Malfunction,,BAXTER HEALTHCARE
276,1,868.5440,Malfunction,,COOK INCORPORATED
277,1,CLAMP,Injury,,SMV AMERICA
278,1,BLOOD GLUCOSE MONITORING TEST STRIPS,Malfunction,U,"NIPRO DIAGNOSTICS, INC."
279,1,A/C POWERED ADJUSTABLE HOSPITAL BED,No answer provided,HOME,MPRI
281,1,BD TEST STRIPS,Other,NO INFORMATION,MDT PUERTO RICO OPERATIONS CO
282,1,,Malfunction,,MEDTRONIC
287,1,IMPLANTABLE PULSE GENERATOR,Malfunction,HOSPITAL,MPRI
288,1,868.5440,Malfunction,,TANDEM DIABETES CARE
289,1,"CATHETERS, TRANSLUMINAL CORONARY ANGIOPLASTY, PERCUTANEOUS",Malfunction,,GIVEN IMAGING LTD.
290,1,890.3860,Malfunction,,ST. JUDE MEDICAL INC. CRMD
291,1,,Malfunction,,ST. JUDE MEDICAL INC. CRMD
292,1,"ELECTROSURGICAL, DISSECTING FORCEPS",Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
293,1,,Malfunction,,BAXTER HEALTHCARE
294,1,CORONARY STENT SYSTEM,Malfunction,,MEDTRONIC
295,1,PHACOFRAGMENTATION UNIT,Malfunction,I,LIFESCAN INC.
296,1,DRUG ELUTING PERMANENT LEFT VENTRICULAR (LV) PACEMAKER ELECTRODE,Malfunction,,SYNTHES GMBH
298,1,"STRETCHER, WHEELED, POWERED",Malfunction,,BAXTER HEALTHCARE
301,1,OZO,Malfunction,I,INVAMEX
302,1,80FRN,Malfunction,,SYNTHES BETTLACH
303,1,890.3850,No answer provided,,ETHICON
305,1,CENTRAL MONITORING STATION,Malfunction,,MPRI
306,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
308,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ST. JUDE MEDICAL INC. CRMD
309,1,CIRCULATORY ASSIST SYSTEM,Malfunction,I,ALARIS
310,1,INSULIN INFUSION PUMP,Malfunction,I,ANIMAS CORPORATION
311,1,INSULIN INFUSION PUMP,Malfunction,,COVIDIEN
314,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MINIMED INC
315,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,THORATEC CORPORATION
316,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,CAREFUSION
318,1,,Malfunction,,ROCHE DIAGNOSTICS
319,1,CRITICAL CARE PSI PRODUCTS,Malfunction,,ETHICON
320,1,CAMINO PRESSURE MONITORING CATHETER KITS,Malfunction,,LIFESCAN INC.
321,1,"WHEELCHAIR, MECHANICAL",Malfunction,,MDT PUERTO RICO OPERATIONS CO
323,1,890.3825,No answer provided,,CARDIAC PACEMAKERS
324,1,"PULSE-GENERATOR, DUAL CHAMBER, IMPLANTABLE",Malfunction,I,ANIMAS CORPORATION
326,1,LIGHTSOURCE,Malfunction,,BALLARD MEDICAL PRODUCTS
327,1,PHACOFRAGMENTATION SYSTEM,Malfunction,,BOSTON SCIENTIFIC
330,1,SCS LEAD,Injury,,BAXTER HEALTHCARE
331,1,INSULIN INFUSION PUMP,Malfunction,I,BAXTER HEALTHCARE
334,1,CENTRAL MONITORING SYSTEM,Malfunction,,BAXTER HEALTHCARE
336,1,"DEFIBRILLATORS, AUTOMATIC, EXTERNAL",Malfunction,HOSPITAL,"PHYSIO-CONTROL, INC"
337,1,,Malfunction,OTHER,"1219655 DEPUY-RAYNHAM, A DIV. OF DEPUY ORTHOPAEDIC"
338,1,OZO,Malfunction,,BAXTER HEALTHCARE
339,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,BAXTER HEALTHCARE
342,1,RESERVOIR,Malfunction,,MPRI
343,1,INSULIN INFUSION PUMP,Malfunction,,ETHICON
345,1,"CIRCUIT, BREATHING (W CONNECTOR, ADAPTOR, Y PIECE)",Malfunction,AMBULATORY SURGICAL FACILITY,ROCHE DIABETES CARE AG
346,1,INFUSION PUMP,Malfunction,,REYNOSA MANUFACTURING
347,1,OXYGENATOR,Malfunction,HOSPITAL,ANIMAS CORPORATION
348,1,"CBK: VENTILATOR, CONTINUOUS, FACILITY",Injury,,"RESPIRONICS CALIFORNIA, INC"
350,1,ENDOSCOPIC STAPLER,Malfunction,HOSPITAL,DEPUY SYNTHES
352,1,LINEAR CUTTERS - ENDOSCOPIC,Malfunction,NOT APPLICABLE,GE OEC MEDICAL SYSTEMS
354,1,SURGICAL LIGHT,No answer provided,,LIFESCAN INC.
355,1,"MOTOR, DRILL, ELECTRIC - ATTACHMENT",Malfunction,,COSTA RICA
356,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,GUIDANT
360,1,BLOOD GLUCOSE MONITORING TEST STRIPS,Malfunction,,BAXTER HEALTHCARE
361,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,OTHER,BOSTON SCIENTIFIC
364,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ETHICON
366,1,"ANALYZER, CHEMISTRY (PHOTOMETRIC, DISCRETE), FOR CLINICAL USE",Malfunction,,ORIDION -RX
368,1,TORIC IOLS,Malfunction,,BOSTON SCIENTIFIC
370,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,,CIRCON ACMI
372,1,"HEART-VALVE, NON-ALLOGRAFT TISSUE",Injury,,COSTA RICA
373,1,"PUMP, INFUSION, ELASTOMERIC",Malfunction,,COVIDIEN
374,1,CADD MEDICATION RESERVOIR,Injury,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
376,1,COCHLEAR IMPLANT,Malfunction,,CYBERONICS
377,1,INFUSION PUMP,Malfunction,I,ZOLL
378,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,GUIDANT
379,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,ANIMAS CORPORATION
381,1,INSULIN PUMP,Malfunction,I,TANDEM DIABETES CARE
383,1,INFUSION PUMP,Malfunction,NO INFORMATION,"MERIT MEDICAL SYSTEMS, INC"
386,1,"CATHETER, CORONARY, ATHERECTOMY",Malfunction,I,GE OEC MEDICAL SYSTEMS
387,1,AC POWERED HOSPITAL BED,Malfunction,,HILL-ROM RITTER
388,1,LANCET DEVICE,Malfunction,HOME,BAXTER HEALTHCARE
390,1,DISPOSABLE SURGICAL STAPLER,Malfunction,HOSPITAL,MAQUET CARDIOVASCULAR
391,1,868.5440,Malfunction,,GE OEC MEDICAL SYSTEMS
392,1,"PUMP, INFUSION",Malfunction,HOSPITAL,STAAR SURGICAL
394,1,"SHUNT, VP",Malfunction,HOSPITAL,STRYKER
395,1,INFUSION PUMP,Malfunction,,LIFESCAN INC.
399,1,BREAST IMPLANT,Malfunction,HOSPITAL,PHILIPS MEDICAL SYSTEMS
402,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,HOSPITAL,BAXTER HEALTHCARE
403,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE
405,1,GBO-SPECIAL SET,Malfunction,HOSPITAL,BAXTER HEALTHCARE
408,1,GAMMA CAMERA,Malfunction,INVALID DATA,AMERICAN MEDICAL SYSTEMS
410,1,BLOOD GLUCOSE SYSTEM,Malfunction,HOSPITAL,BAXTER HEALTHCARE
413,1,DRUG ELUTING PERMANENT LEFT VENTRICULAR (LV) PACEMAKER ELECTRODE,Injury,,BAXTER HEALTHCARE
415,1,DEFIBRILLATOR,Malfunction,,ST. JUDE MEDICAL INC. CRMD
416,1,OZO,Malfunction,,ST. JUDE MEDICAL INC. CRMD
417,1,"ELECTRODE, PACEMAKER, PERMANENT",Injury,,SIEMENS HEALTHCARE DIAGNOSTICS
420,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,BARNSTEAD/THERMOLYNE
421,1,AUTOMATED EXTERNAL DEFIBRILLATOR,Malfunction,,BOSTON SCIENTIFIC
423,1,ENDOPATH NON-SHIELDED TROCAR,Malfunction,NOT APPLICABLE,MPRI
427,1,INFUSION PUMP,Malfunction,,TANDEM DIABETES CARE
428,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Malfunction,,LIFESCAN INC.
429,1,INSULIN PUMP,Malfunction,,C. R. BARD INC. (BASD)
430,1,BRAVO PH CAPSULE,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
431,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Malfunction,OTHER,BARD SHANNON LIMITED -3005636544
434,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,ABBOTT VASCULAR
436,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
437,1,"PUMP, INFUSION",Malfunction,,BAXTER HEALTHCARE
438,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,ANIMAS CORPORATION
439,1,GLUCOSE MONITORING SYS/KIT,Malfunction,OTHER,MEDTRONIC
440,1,,Malfunction,,SYNTHES - MONUMENT
441,1,,Malfunction,,AGFA HEALTHCARE CORP
444,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ETHICON
446,1,78FKX,Malfunction,,ZOLL
447,1,868.5440,Malfunction,,GUIDANT
448,1,"WHEELCHAIR, MECHANICAL",Malfunction,I,STRYKER
449,1,"ROD, FIXATION, INTRAMEDULLARY",Malfunction,,CORDIS CORPORATION
450,1,CLIP APPLIERS - ENDOSCOPIC,Malfunction,NOT APPLICABLE,MEDTRONIC
451,1,ADMINISTRATION SET,Malfunction,,ANIMAS CORPORATION
452,1,"ELECTRODE, PACEMAKER, PERMANENT",Malfunction,,BAXTER HEALTHCARE
453,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
455,1,,Malfunction,OTHER,ST. JUDE MEDICAL INC. CRMD
456,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,,MEDTRONIC
457,1,IV PUMP/CONTROLLER,Malfunction,,ROCHE DIAGNOSTICS
459,1,INSULIN PUMP CARTRIDGE,Malfunction,,INTERNATIONAL TECHNIDYNE CORP.
460,1,DISPOSABLE SURGICAL ACCESS DEVICE,Malfunction,,SYNTHES HAGENDORF
461,1,HIP INSTRUMENT/TRIAL,Malfunction,,MDT PUERTO RICO OPERATIONS CO
462,1,,Malfunction,OTHER,"RESPIRONICS CALIFORNIA, INC"
464,1,INFUSION PUMP,Malfunction,,GE OEC MEDICAL SYSTEMS
465,1,LEFT VENTRICULAR ASSIST DEVICE,Malfunction,I,"ARROW INTERVENTIONAL, INC (SUBSIDIARY OF ARROW INTL, INC)"
